record_id,campaign_id,date,spend,impressions,clicks,leads,conversions,revenue,ctr,cpc,data_source
REC_0000000,CAMP_1000,2024-09-29,915.13,18197,346,15,0,0.0,1.9014,2.64,synthetic
REC_0000001,CAMP_1000,2024-09-30,2010.78,22123,569,54,0,0.0,2.572,3.53,synthetic
REC_0000002,CAMP_1000,2024-10-01,1609.88,16086,400,35,0,0.0,2.4866,4.02,synthetic
REC_0000003,CAMP_1000,2024-10-02,2019.25,17633,170,5,0,0.0,0.9641,11.88,synthetic
REC_0000004,CAMP_1000,2024-10-03,1671.42,15639,322,14,0,0.0,2.059,5.19,synthetic
REC_0000005,CAMP_1000,2024-10-04,981.74,13791,210,19,0,0.0,1.5227,4.67,synthetic
REC_0000006,CAMP_1000,2024-10-05,780.85,8223,195,10,0,0.0,2.3714,4.0,synthetic
REC_0000007,CAMP_1000,2024-10-06,936.81,14480,406,40,0,0.0,2.8039,2.31,synthetic
REC_0000008,CAMP_1000,2024-10-07,1707.42,13294,261,26,0,0.0,1.9633,6.54,synthetic
REC_0000009,CAMP_1000,2024-10-08,1154.77,11275,91,7,0,0.0,0.8071,12.69,synthetic
REC_0000010,CAMP_1000,2024-10-09,1331.31,21863,617,35,0,0.0,2.8221,2.16,synthetic
REC_0000011,CAMP_1000,2024-10-10,1359.85,11619,107,9,0,0.0,0.9209,12.71,synthetic
REC_0000012,CAMP_1000,2024-10-11,722.51,7045,67,6,0,0.0,0.951,10.78,synthetic
REC_0000013,CAMP_1000,2024-10-12,1067.42,11502,280,10,0,0.0,2.4344,3.81,synthetic
REC_0000014,CAMP_1000,2024-10-13,602.19,6616,108,5,0,0.0,1.6324,5.58,synthetic
REC_0000015,CAMP_1000,2024-10-14,1990.43,31650,791,73,2,5468.53,2.4992,2.52,synthetic
REC_0000016,CAMP_1000,2024-10-15,1776.24,28776,637,42,1,2624.74,2.2137,2.79,synthetic
REC_0000017,CAMP_1000,2024-10-16,1826.98,16222,483,33,1,4307.04,2.9774,3.78,synthetic
